Token Similarity,AST Similarity,Data Flow Similarity,Runtime Similarity,Clone Type
51,95,97,78,Type-3
92,21,67,23,Type-3
14,88,43,38,Type-3
71,10,42,13,Type-3
60,74,40,79,Type-3
20,89,27,14,Type-3
82,15,20,2,Type-3
86,28,1,83,Type-3
74,29,53,53,Type-3
74,10,85,27,Type-3
87,56,15,16,Type-3
99,64,37,99,Type-3
23,5,43,0,Type-3
2,76,5,31,Type-3
21,90,80,32,Type-3
52,34,16,80,Type-3
1,96,51,32,Type-3
87,58,90,68,Type-3
29,13,5,99,Type-3
37,42,3,11,Type-3
1,45,67,18,Type-3
63,21,86,97,Type-3
59,59,85,61,Type-3
20,84,52,91,Type-3
32,1,50,29,Type-3
75,68,87,50,Type-3
57,14,68,88,Type-3
21,49,35,95,Type-3
88,83,2,25,Type-3
48,89,55,95,Type-3
90,55,100,36,Type-3
58,62,11,30,Type-3
41,87,22,77,Type-3
91,34,58,90,Type-3
59,87,60,14,Type-3
79,25,15,39,Type-3
14,85,49,99,Type-3
61,26,35,0,Type-3
61,18,71,24,Type-3
46,36,65,28,Type-3
61,35,62,49,Type-3
50,92,92,71,Type-3
54,39,87,79,Type-3
63,62,57,80,Type-3
2,38,51,9,Type-3
100,11,33,49,Type-3
50,43,42,89,Type-3
6,79,99,70,Type-3
20,47,6,56,Type-3
72,94,77,50,Type-3
38,78,22,23,Type-3
17,32,59,26,Type-3
3,78,69,31,Type-3
88,31,64,26,Type-3
59,21,100,30,Type-3
13,5,17,71,Type-3
8,29,99,11,Type-3
89,16,63,79,Type-3
52,1,90,71,Type-3
1,79,27,74,Type-3
83,54,78,41,Type-3
91,11,6,81,Type-3
59,11,0,34,Type-3
70,50,33,41,Type-3
43,47,51,78,Type-3
7,38,67,1,Type-3
46,80,31,23,Type-3
34,69,42,36,Type-3
77,89,19,62,Type-3
80,0,8,7,Type-3
35,15,69,88,Type-3
49,45,57,9,Type-3
3,62,40,41,Type-3
1,58,20,92,Type-3
5,46,79,1,Type-3
53,15,64,75,Type-3
3,45,43,41,Type-3
53,79,35,48,Type-3
92,38,17,76,Type-3
62,92,43,75,Type-3
17,49,8,6,Type-3
89,48,84,39,Type-3
43,25,8,86,Type-3
33,93,75,6,Type-3
73,32,100,55,Type-3
61,19,87,95,Type-3
99,100,68,24,Type-3
13,76,57,95,Type-3
94,71,76,8,Type-3
47,95,34,99,Type-3
14,81,35,64,Type-3
71,40,89,90,Type-3
77,10,61,77,Type-3
86,54,48,18,Type-3
61,46,49,37,Type-3
39,77,94,82,Type-3
84,49,52,27,Type-3
79,96,20,75,Type-3
81,22,22,12,Type-3
52,60,10,47,Type-3
23,6,39,68,Type-3
25,14,6,50,Type-3
88,78,99,95,Type-3
59,8,51,76,Type-3
40,84,47,5,Type-3
28,36,50,80,Type-3
14,58,82,67,Type-3
44,27,20,36,Type-3
64,5,93,2,Type-3
88,9,6,71,Type-3
70,14,73,73,Type-3
8,87,20,48,Type-3
87,3,62,50,Type-3
0,98,22,11,Type-3
7,57,48,73,Type-3
87,14,90,14,Type-3
62,36,14,84,Type-3
10,1,38,88,Type-3
80,46,56,75,Type-3
7,27,44,92,Type-3
34,68,92,94,Type-3
34,86,55,16,Type-3
32,72,28,24,Type-3
4,70,15,64,Type-3
40,67,93,60,Type-3
27,18,6,39,Type-3
6,7,59,39,Type-3
72,30,91,45,Type-3
71,13,20,98,Type-3
11,28,29,51,Type-3
33,8,1,75,Type-3
32,100,13,59,Type-3
47,69,35,89,Type-3
22,59,67,43,Type-3
61,91,98,66,Type-3
87,44,36,92,Type-3
36,73,51,71,Type-3
98,53,65,10,Type-3
43,44,83,49,Type-3
85,2,5,86,Type-3
90,75,95,95,Type-3
34,35,38,54,Type-3
64,10,17,25,Type-3
98,72,30,92,Type-3
100,5,61,64,Type-3
46,75,4,77,Type-3
77,40,51,61,Type-3
2,71,76,16,Type-3
0,40,61,40,Type-3
4,76,64,36,Type-3
89,61,5,48,Type-3
13,8,52,8,Type-3
26,83,38,19,Type-3
8,9,97,13,Type-3
78,40,79,98,Type-3
