id,token_similarity,ast_similarity,dataflow_similarity,runtime_similarity,composite_similarity,clone_type
1,0.374,0.996,0.157,0.634,0.541,Type 4
2,0.478,0.213,0.522,0.885,0.525,Type 4
3,0.04,0.205,0.314,0.996,0.389,Type 4
4,0.599,0.283,0.103,0.625,0.403,Type 4
5,0.32,0.619,0.82,0.795,0.638,Type 4
6,0.874,0.569,0.362,0.76,0.641,Type 4
7,0.73,0.728,0.99,0.538,0.747,Type 4
8,0.373,0.136,0.988,0.067,0.391,Type 4
9,0.978,0.886,0.977,0.308,0.787,Type 3
10,0.226,0.104,0.213,0.869,0.353,Type 4
11,0.629,0.58,0.167,0.592,0.492,Type 4
12,0.67,0.893,0.867,0.79,0.805,Type 3
13,0.921,0.147,0.366,0.825,0.565,Type 4
14,0.395,0.191,0.467,0.424,0.369,Type 4
15,0.434,0.981,0.039,0.13,0.396,Type 4
16,0.249,0.476,0.303,0.558,0.397,Type 4
17,0.537,0.61,0.243,0.075,0.366,Type 4
18,0.047,0.444,0.306,0.638,0.359,Type 4
19,0.867,0.786,0.325,0.676,0.664,Type 4
20,0.238,0.15,0.453,0.48,0.33,Type 4
21,0.16,0.741,0.874,0.274,0.512,Type 4
22,0.406,0.846,0.992,0.178,0.606,Type 4
23,0.694,0.369,0.218,0.189,0.367,Type 4
24,0.075,0.386,0.116,0.682,0.315,Type 4
25,0.39,0.878,0.648,0.417,0.583,Type 4
26,0.671,0.747,0.069,0.391,0.47,Type 4
27,0.393,0.238,0.242,0.476,0.338,Type 4
28,0.439,0.142,0.391,0.874,0.461,Type 4
29,0.89,0.293,0.309,0.83,0.581,Type 4
30,0.056,0.416,0.897,0.871,0.56,Type 4
31,0.891,0.269,0.599,0.444,0.551,Type 4
32,0.134,0.862,0.277,0.353,0.406,Type 4
33,0.778,0.676,0.626,0.264,0.586,Type 4
34,0.037,0.474,0.76,0.499,0.442,Type 4
35,0.001,0.774,0.221,0.316,0.328,Type 4
36,0.374,0.44,0.392,0.036,0.311,Type 4
37,0.955,0.879,0.026,0.64,0.625,Type 4
38,0.346,0.144,0.745,0.348,0.395,Type 4
39,0.763,0.017,0.032,0.966,0.444,Type 4
40,0.293,0.758,0.514,0.513,0.519,Type 4
41,0.212,0.743,0.053,0.424,0.358,Type 4
42,0.561,0.492,0.02,0.039,0.278,Type 4
43,0.765,0.444,0.48,0.059,0.437,Type 4
44,0.135,0.84,0.849,0.08,0.476,Type 4
45,0.222,0.201,0.782,0.704,0.477,Type 4
46,0.954,0.806,0.669,0.062,0.623,Type 4
47,0.029,0.876,0.372,0.216,0.373,Type 4
48,0.803,0.218,0.751,0.314,0.521,Type 4
49,0.494,0.815,0.612,0.179,0.525,Type 4
50,0.329,0.862,0.852,0.494,0.634,Type 4
51,0.578,0.681,0.342,0.579,0.545,Type 4
52,0.527,0.701,0.886,0.041,0.539,Type 4
53,0.531,0.915,0.506,0.128,0.52,Type 4
54,0.152,0.375,0.004,0.328,0.215,Type 4
55,0.503,0.068,0.853,0.682,0.526,Type 4
56,0.001,0.999,0.363,0.083,0.362,Type 4
57,0.583,0.064,0.424,0.571,0.41,Type 4
58,0.437,0.926,0.514,0.852,0.682,Type 4
59,0.451,0.121,0.938,0.077,0.397,Type 4
60,0.176,0.952,0.1,0.045,0.318,Type 4
61,0.801,0.695,0.076,0.513,0.521,Type 4
62,0.811,0.532,0.269,0.083,0.424,Type 4
63,0.298,0.475,0.521,0.066,0.34,Type 4
64,0.363,0.811,0.921,0.688,0.696,Type 4
65,0.845,0.33,0.585,0.708,0.617,Type 4
66,0.688,0.193,0.497,0.206,0.396,Type 4
67,0.517,0.013,0.335,0.214,0.27,Type 4
68,0.851,0.56,0.39,0.391,0.548,Type 4
69,0.808,0.518,0.052,0.077,0.364,Type 4
70,0.994,0.169,0.398,0.724,0.571,Type 4
71,0.773,0.968,0.261,0.393,0.599,Type 4
72,0.717,0.415,0.849,0.856,0.71,Type 4
73,0.982,0.174,0.788,0.482,0.607,Type 4
74,0.798,0.835,0.098,0.669,0.6,Type 4
75,0.12,0.762,0.701,0.302,0.471,Type 4
76,0.244,0.723,0.588,0.341,0.474,Type 4
77,0.961,0.133,0.254,0.629,0.494,Type 4
78,0.221,0.124,0.055,0.196,0.149,Type 4
79,0.782,0.886,0.429,0.526,0.656,Type 4
80,0.943,0.702,0.575,0.871,0.773,Type 3
81,0.671,0.225,0.938,0.771,0.651,Type 4
82,0.309,0.921,0.258,0.167,0.414,Type 4
83,0.933,0.92,0.418,0.192,0.616,Type 4
84,0.587,0.051,0.118,0.361,0.279,Type 4
85,0.193,0.95,0.802,0.716,0.665,Type 4
86,0.187,0.302,0.063,0.002,0.139,Type 4
87,0.831,0.746,0.817,0.672,0.766,Type 3
88,0.536,0.21,0.045,0.238,0.257,Type 4
89,0.777,0.421,0.522,0.7,0.605,Type 4
90,0.452,0.05,0.991,0.562,0.514,Type 4
91,0.94,0.749,0.467,0.81,0.741,Type 4
92,0.982,0.968,0.051,0.409,0.603,Type 4
93,0.537,0.49,0.878,0.522,0.607,Type 4
94,0.085,0.259,0.748,0.612,0.426,Type 4
95,0.89,0.796,0.47,0.524,0.67,Type 4
96,0.311,0.312,0.186,0.678,0.372,Type 4
97,0.111,0.431,0.713,0.237,0.373,Type 4
98,0.938,0.967,0.885,0.688,0.87,Type 2
99,0.607,0.934,0.011,0.844,0.599,Type 4
100,0.318,0.661,0.444,0.607,0.508,Type 4
